lat,lon,store
-6.3444,106.57433,X462
-7.01099,106.56731,X486
-6.41791,106.8227,X489
-6.32516,106.7428,A098
-6.31669,106.75364,A075
-7.35024,112.66069,M720
3.56485,98.70255,W087
2.96782,99.10656,W089
-6.18925,106.99059,EG22
-6.12494,106.58486,T319
-1.54442,102.72235,1DF6
1.43069,125.11207,1Y56
-3.03143,104.75198,P427
0.96389,102.07613,1AI7
1.59146,101.40106,1AI6
-1.48695,102.44238,1DC9
-6.32675,106.82158,EH49
-2.93934,104.76719,P411
-7.10413,107.98742,BC76
-6.15301,107.30003,1J55
-1.69451,103.5855,1DF7
-8.53344,115.20013,Q371
2.94468,99.06967,W198
-6.53358,108.35297,V297
-7.19972,107.90285,BC59
-7.37202,108.23203,BC58
-0.0153,109.32983,1P71
-6.37864,106.81379,X420
-6.30276,106.81438,KB27
-1.70364,103.26621,1D90
-7.61572,109.25148,I453
-5.18244,119.44578,R339
-6.37262,106.88002,X393
-8.16752,113.64827,Y232
-7.61241,112.68658,M813
-7.68337,111.24476,O552
-8.06176,110.81247,O553
-7.45485,110.77721,O556
-6.26961,107.00241,C030
1.45658,124.80865,1Y14
1.50064,124.91907,1Y15
-2.98711,104.72109,P461
-1.48508,102.10989,1D73
-1.49267,102.11344,1D74
-6.34998,106.84374,X427
-6.3918,106.83849,X378
3.48826,98.59916,W233
0.89012,108.98723,1P35
-6.23236,106.85295,KA33
-6.27209,106.84854,K917
-6.17444,106.71299,KA66
-8.2751,112.59795,M863
-6.20939,106.42199,TA25
-6.8477,108.81453,V283
-6.93003,108.88677,V324
-7.13583,109.14893,V357
-6.86629,108.64363,V457
0.44368,101.43958,1AB4
-0.01657,109.31508,1P37
-3.26915,114.60192,1G92
-8.52576,115.2431,Q333
-6.20795,106.63859,AB50
-8.58786,116.11169,Q175
-8.9169,116.75291,1S37
-7.09931,113.47482,U652
-7.7715,113.25471,Y282
-6.22069,106.72188,KA75
-6.75478,106.78083,X651
-6.34188,107.10852,C577
-6.89724,109.18819,V370
-6.88665,109.15089,V378
